cell_line_name,drug_name,drug_smiles,pubchem_cid,auc,ec50,ic50
TOV21G,AT13387,"CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O, CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O",11955716,0.720301588,0.178902046,2.035469849
TOV21G,FK-866,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1,6914657,0.643518105,0.006106122,0.006752177
NCIH460,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.962975671,7.31226988,7.367536721
TOV112D,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.825340621,0.67171435,1.159557496
SW1710,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.933488116,3.864650472,5.458279179
G402,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.960602596,7.506560959,6.922682107
RL952,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.951625529,5.916322024,6.349619926
LS513,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.888942354,2.956073712,3.174338018
NUGC4,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.916729754,3.435826019,3.67632243
SKOV3,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.946662375,5.538648184,5.720336648
KMRC1,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.907344978,2.597083895,3.436296037
TOV21G,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.889781004,3.027784504,3.164861964
OVTOKO,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.831480713,0.779879791,0.936727407
MSTO211H,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.875158478,2.650872265,2.761244889
RVH421,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.937414179,4.117063508,6.091214146
SW1990,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.959274582,7.038751241,7.068776777
TE6,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.854365374,2.21979504,2.491006046
NCIH1048,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.896643315,2.793514124,2.974541443
NCIH2087,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.965444636,6.582418025,7.438261072
NCIH1944,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.920714978,4.068231195,4.317552901
IGROV1,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.959819894,7.019647614,6.962590417
ONS76,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.947373268,7.074535825,7.318382886
NCIH1651,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.967309427,6.675912291,7.224229655
LK2,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.878491026,1.649863001,3.765105169
TE4,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.711329918,0.158233262,3.354221012
A673,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.944535689,5.019079928,5.494232056
DU145,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.958123916,9.094424613,6.532050602
T98G,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.910815528,3.855725058,4.157664798
NCIH838,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.956584549,5.687694314,7.424279057
HSC2,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.93435392,5.551136031,6.403318785
KYSE510,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.957788747,6.11394541,6.430868509
GI1,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.890920875,3.211770868,3.273392696
CAL29,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.923608499,3.872542237,4.276939628
NCIH1793,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.901746956,2.945980514,3.144876405
MDAMB468,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.931198622,5.012008921,5.52776689
RERFLCMS,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.947512963,5.464263722,5.737260354
LOUNH91,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.956166649,5.813624586,6.504742649
OVCAR8,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.896298364,3.040341461,3.370105001
HOS,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.903507375,3.137643608,3.42037565
RCC10RGB,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.870976972,2.621306616,3.136633158
IALM,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.943079154,3.66138826,4.772844248
LS1034,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.869947569,1.505317881,1.84717591
BT549,tepoxalin,"COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1, COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1",59757,0.90594551,2.612954847,3.260305777
MFE296,oxyquinoline,Oc1cccc2cccnc12,1923,0.935954905,3.930170597,4.584822875
KYSE270,oxyquinoline,Oc1cccc2cccnc12,1923,0.941366566,5.668695813,5.67470042
A172,oxyquinoline,Oc1cccc2cccnc12,1923,0.923208203,5.021139805,4.99626515
8MGBA,oxyquinoline,Oc1cccc2cccnc12,1923,0.947696403,6.031680915,6.03394503
GCIY,oxyquinoline,Oc1cccc2cccnc12,1923,0.902186232,3.742388483,3.815206641
SF539,oxyquinoline,Oc1cccc2cccnc12,1923,0.932809411,4.787569322,4.937532084
SNGM,oxyquinoline,Oc1cccc2cccnc12,1923,0.932227351,4.282044636,5.190681489
TT,oxyquinoline,Oc1cccc2cccnc12,1923,0.923096023,4.510190345,4.561054914
ECGI10,oxyquinoline,Oc1cccc2cccnc12,1923,0.952129912,5.351271382,5.88372394
KMRC20,oxyquinoline,Oc1cccc2cccnc12,1923,0.954202612,6.328036103,6.584409082
HCC15,oxyquinoline,Oc1cccc2cccnc12,1923,0.905665455,3.937240312,4.027240732
NCIH1355,oxyquinoline,Oc1cccc2cccnc12,1923,0.946893575,5.926344464,5.951423323
NCIH2009,oxyquinoline,Oc1cccc2cccnc12,1923,0.953283844,6.074171656,6.35404118
NCIH1650,oxyquinoline,Oc1cccc2cccnc12,1923,0.953514745,6.471045544,6.47278079
MHHES1,oxyquinoline,Oc1cccc2cccnc12,1923,0.937017285,5.264327086,5.560985579
NCIH1703,oxyquinoline,Oc1cccc2cccnc12,1923,0.956716307,6.694954928,6.620190519
U2OS,oxyquinoline,Oc1cccc2cccnc12,1923,0.943389017,5.607590789,5.679804797
OE19,oxyquinoline,Oc1cccc2cccnc12,1923,0.958928387,6.414865501,6.91089669
JHH1,oxyquinoline,Oc1cccc2cccnc12,1923,0.939540569,4.869708285,5.06519608
NCIH661,oxyquinoline,Oc1cccc2cccnc12,1923,0.96681711,7.487244297,7.28193256
NCIH28,oxyquinoline,Oc1cccc2cccnc12,1923,0.928673577,4.722784811,4.785443863
TT,oxyquinoline,Oc1cccc2cccnc12,1923,0.952961623,6.224456822,6.448254128
HDQP1,oxyquinoline,Oc1cccc2cccnc12,1923,0.947132491,6.268421007,5.900281976
BCPAP,oxyquinoline,Oc1cccc2cccnc12,1923,0.949195135,6.871901782,5.743969477
MCF7,oxyquinoline,Oc1cccc2cccnc12,1923,0.966138564,7.412071736,7.121245946
HCC1143,oxyquinoline,Oc1cccc2cccnc12,1923,0.96865036,7.635188318,7.361996866
OVISE,oxyquinoline,Oc1cccc2cccnc12,1923,0.908569695,3.936413833,4.027623074
MDAMB175VII,oxyquinoline,Oc1cccc2cccnc12,1923,0.958570875,6.526359389,6.675119383
EFO21,oxyquinoline,Oc1cccc2cccnc12,1923,0.956119441,6.542348495,6.57026327
NCIH23,oxyquinoline,Oc1cccc2cccnc12,1923,0.922772881,4.590604473,4.657266592
NUGC3,oxyquinoline,Oc1cccc2cccnc12,1923,0.969041093,8.191022668,7.332724996
HCC38,oxyquinoline,Oc1cccc2cccnc12,1923,0.962669989,6.944395031,6.950602756
HT1376,oxyquinoline,Oc1cccc2cccnc12,1923,0.957314832,6.848874266,7.050303555
NCIH2452,oxyquinoline,Oc1cccc2cccnc12,1923,0.966114041,7.506888286,7.408819742
KNS42,oxyquinoline,Oc1cccc2cccnc12,1923,0.963218465,6.820831785,7.023101332
NCIH747,oxyquinoline,Oc1cccc2cccnc12,1923,0.962563573,7.116579829,6.927297114
JHH7,oxyquinoline,Oc1cccc2cccnc12,1923,0.96190312,6.698016557,6.953044159
OE21,oxyquinoline,Oc1cccc2cccnc12,1923,0.906859201,3.855781501,3.900857054
NCIH1693,oxyquinoline,Oc1cccc2cccnc12,1923,0.957930175,6.776186762,6.624916736
KYSE140,oxyquinoline,Oc1cccc2cccnc12,1923,0.966298738,7.448373711,7.083719503
TE10,oxyquinoline,Oc1cccc2cccnc12,1923,0.90207819,3.472405047,3.593582323
HCC366,oxyquinoline,Oc1cccc2cccnc12,1923,0.963326088,7.237768667,7.286221567
IM95,oxyquinoline,Oc1cccc2cccnc12,1923,0.94249936,5.661670815,5.697681049
SCC25,oxyquinoline,Oc1cccc2cccnc12,1923,0.939479356,5.61110953,5.571758788
769P,oxyquinoline,Oc1cccc2cccnc12,1923,0.967218554,7.544621776,7.245094603
UACC62,oxyquinoline,Oc1cccc2cccnc12,1923,0.881691486,1.559428926,2.072714614
KALS1,oxyquinoline,Oc1cccc2cccnc12,1923,0.963029563,7.567656281,7.439257165
NCIH1915,oxyquinoline,Oc1cccc2cccnc12,1923,0.960286516,6.894532881,6.802060877
NCIH1623,oxyquinoline,Oc1cccc2cccnc12,1923,0.95736831,5.991523703,7.359078776
647V,oxyquinoline,Oc1cccc2cccnc12,1923,0.968702191,7.307079775,7.379841823
SW620,oxyquinoline,Oc1cccc2cccnc12,1923,0.954269623,5.81358645,6.280718799
NCIH2052,oxyquinoline,Oc1cccc2cccnc12,1923,0.940965366,5.317083848,5.449896842
SKUT1,oxyquinoline,Oc1cccc2cccnc12,1923,0.92717857,5.005690018,4.945976563
A375,oxyquinoline,Oc1cccc2cccnc12,1923,0.962937726,7.174647302,7.18633489
JHH6,oxyquinoline,Oc1cccc2cccnc12,1923,0.925382049,4.388268249,4.496821272
A2058,oxyquinoline,Oc1cccc2cccnc12,1923,0.957024576,6.665317425,6.653551384
BFTC909,oxyquinoline,Oc1cccc2cccnc12,1923,0.95264353,6.563572636,6.277781217
EFO27,oxyquinoline,Oc1cccc2cccnc12,1923,0.953893453,7.765684574,6.877282193
SBC5,oxyquinoline,Oc1cccc2cccnc12,1923,0.948608131,6.095436699,6.07662343
TOV112D,oxyquinoline,Oc1cccc2cccnc12,1923,0.958868575,6.619562698,6.721094235
SW1710,oxyquinoline,Oc1cccc2cccnc12,1923,0.956228981,6.658179917,6.507116146
BHT101,oxyquinoline,Oc1cccc2cccnc12,1923,0.953154227,6.489020545,6.33570306
SNU61,oxyquinoline,Oc1cccc2cccnc12,1923,0.943965997,5.688332128,5.760894324
G402,oxyquinoline,Oc1cccc2cccnc12,1923,0.951427286,6.38485027,6.315030246
LS513,oxyquinoline,Oc1cccc2cccnc12,1923,0.950441447,6.33988751,6.133663585
VMRCRCW,oxyquinoline,Oc1cccc2cccnc12,1923,0.951209712,6.327309167,6.271214898
BEN,oxyquinoline,Oc1cccc2cccnc12,1923,0.894949108,2.713570293,3.247105741
DBTRG05MG,oxyquinoline,Oc1cccc2cccnc12,1923,0.953987041,6.890217351,6.53702399
NCIH1581,oxyquinoline,Oc1cccc2cccnc12,1923,0.754617977,1.095099862,1.191958647
SKLU1,oxyquinoline,Oc1cccc2cccnc12,1923,0.934263126,5.112020454,5.17772619
NCIH1838,oxyquinoline,Oc1cccc2cccnc12,1923,0.946192227,5.046306863,5.556150817
TCCSUP,oxyquinoline,Oc1cccc2cccnc12,1923,0.946952432,5.716762042,5.913224337
TOV21G,oxyquinoline,Oc1cccc2cccnc12,1923,0.913127908,4.257946313,4.267476804
TE1,oxyquinoline,Oc1cccc2cccnc12,1923,0.920518803,3.80032836,4.295049566
DANG,oxyquinoline,Oc1cccc2cccnc12,1923,0.956767616,6.703197875,6.619963632
MSTO211H,oxyquinoline,Oc1cccc2cccnc12,1923,0.956470646,6.541918407,6.627733592
T47D,oxyquinoline,Oc1cccc2cccnc12,1923,0.954271907,6.654761766,6.532024276
PC3,oxyquinoline,Oc1cccc2cccnc12,1923,0.9487449,6.127538217,6.087172376
JHOS2,oxyquinoline,Oc1cccc2cccnc12,1923,0.943626294,4.129893282,5.768400726
NCIH522,oxyquinoline,Oc1cccc2cccnc12,1923,0.894666409,3.556685625,3.625056848
NCIH727,oxyquinoline,Oc1cccc2cccnc12,1923,0.953456376,6.477425524,6.374226121
HCC1419,oxyquinoline,Oc1cccc2cccnc12,1923,0.956493181,6.675220773,6.538171302
NCIH1792,oxyquinoline,Oc1cccc2cccnc12,1923,0.908684133,3.117428392,3.48066958
NCIH1048,oxyquinoline,Oc1cccc2cccnc12,1923,0.934656082,5.236069615,5.256556178
NCIH1568,oxyquinoline,Oc1cccc2cccnc12,1923,0.934095502,5.0928818,5.267196446
EFM192A,oxyquinoline,Oc1cccc2cccnc12,1923,0.872257362,2.107440922,3.605407194
MKN7,oxyquinoline,Oc1cccc2cccnc12,1923,0.922352354,4.519371044,4.664572518
NCIH1944,oxyquinoline,Oc1cccc2cccnc12,1923,0.959230566,6.779614009,6.741549078
IGROV1,oxyquinoline,Oc1cccc2cccnc12,1923,0.940046991,5.594694164,5.594844733
LOXIMVI,oxyquinoline,Oc1cccc2cccnc12,1923,0.941593133,5.203825917,5.476845975
H4,oxyquinoline,Oc1cccc2cccnc12,1923,0.889363468,3.217602745,3.2558822
ONS76,oxyquinoline,Oc1cccc2cccnc12,1923,0.954299954,5.988272895,6.165618894
639V,oxyquinoline,Oc1cccc2cccnc12,1923,0.95554421,6.294959606,6.531989028
CHL1,oxyquinoline,Oc1cccc2cccnc12,1923,0.944891875,5.877198894,5.869509248
KU1919,oxyquinoline,Oc1cccc2cccnc12,1923,0.958369908,6.887752318,6.860275413
SNUC5,oxyquinoline,Oc1cccc2cccnc12,1923,0.937472187,4.765406479,4.998763588
NCIH1651,oxyquinoline,Oc1cccc2cccnc12,1923,0.961476605,6.990102898,6.942513464
LK2,oxyquinoline,Oc1cccc2cccnc12,1923,0.966375258,7.906219699,7.079187779
A673,oxyquinoline,Oc1cccc2cccnc12,1923,0.913106599,4.324737128,4.320187117
BFTC905,oxyquinoline,Oc1cccc2cccnc12,1923,0.897212772,3.650785941,3.655646887
HSC2,oxyquinoline,Oc1cccc2cccnc12,1923,0.941002265,5.480330141,5.533073866
KYSE510,oxyquinoline,Oc1cccc2cccnc12,1923,0.951490506,6.274130241,6.278096222
8505C,oxyquinoline,Oc1cccc2cccnc12,1923,0.955838409,6.686383705,6.518597169
CAL29,oxyquinoline,Oc1cccc2cccnc12,1923,0.889761848,3.478016936,3.442728161
5637,oxyquinoline,Oc1cccc2cccnc12,1923,0.920212932,4.488569968,4.512717514
NCIH1437,oxyquinoline,Oc1cccc2cccnc12,1923,0.96418719,6.424148594,7.070807611
GB1,oxyquinoline,Oc1cccc2cccnc12,1923,0.935470146,5.336206196,5.343978967
HCC1806,oxyquinoline,Oc1cccc2cccnc12,1923,0.967059704,7.340501736,7.271959607
MESSA,oxyquinoline,Oc1cccc2cccnc12,1923,0.938376851,5.180710181,5.442398647
NCIH2122,oxyquinoline,Oc1cccc2cccnc12,1923,0.749463462,1.016593588,0.901648527
MDAMB468,oxyquinoline,Oc1cccc2cccnc12,1923,0.888913099,3.29371579,3.356705732
TE5,oxyquinoline,Oc1cccc2cccnc12,1923,0.908348055,4.033033266,4.072176944
CORL105,oxyquinoline,Oc1cccc2cccnc12,1923,0.950193462,5.939306176,6.068786515
RERFLCMS,oxyquinoline,Oc1cccc2cccnc12,1923,0.968441507,7.798889259,7.416845157
LOUNH91,oxyquinoline,Oc1cccc2cccnc12,1923,0.962243942,7.605259545,7.379589182
OVCAR8,oxyquinoline,Oc1cccc2cccnc12,1923,0.952079918,6.504633569,6.271820188
SKES1,oxyquinoline,Oc1cccc2cccnc12,1923,0.916058685,4.299452267,4.324440694
HT55,oxyquinoline,Oc1cccc2cccnc12,1923,0.947353519,5.688242947,5.927346643
MKN45,oxyquinoline,Oc1cccc2cccnc12,1923,0.919841183,4.488666142,4.545116107
HOS,oxyquinoline,Oc1cccc2cccnc12,1923,0.918784832,4.453710417,4.476075094
MDAMB436,oxyquinoline,Oc1cccc2cccnc12,1923,0.94828664,6.052399363,6.063662664
ABC1,oxyquinoline,Oc1cccc2cccnc12,1923,0.88695114,3.098855674,3.151364965
NCIH226,oxyquinoline,Oc1cccc2cccnc12,1923,0.918015488,3.448873061,4.179436492
SKMEL2,oxyquinoline,Oc1cccc2cccnc12,1923,0.947242274,6.923471632,6.73256259
DKMG,oxyquinoline,Oc1cccc2cccnc12,1923,0.964209835,7.340560981,6.998766829
IALM,oxyquinoline,Oc1cccc2cccnc12,1923,0.959980514,7.385075465,7.25821467
NCIH2347,oxyquinoline,Oc1cccc2cccnc12,1923,0.934976014,5.180545454,5.253842756
BT474,oxyquinoline,Oc1cccc2cccnc12,1923,0.94885724,5.874112775,6.031171327
PSN1,tosedostat,"CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1",15547703,0.540028355,0.009771639,0.149931715
KYSE270,tosedostat,"CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1, CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1",15547703,0.675081772,0.020251835,0.037940023
